Result,Board,                Type,                Part,      ActVal,      StdVal,          HL,          LL, Mode,Range,     TestVal
  PASS,    1,           Capacitor,                C46L,       1.1nF,         1nF,         25%,         25%,   AC,    2,      1.0812
  PASS,    1,           Capacitor,                C47L,       1.1nF,         1nF,         25%,         25%,   AC,    2,      1.1805
  PASS,    1,           Capacitor,                C48L,       1.1nF,         1nF,         25%,         25%,   AC,    2,      1.1798
  PASS,    1,           Capacitor,                C49L,       1.1nF,         1nF,         25%,         25%,   AC,    2,      1.0609
  PASS,    1,           Capacitor,                C50L,       1.1nF,         1nF,         25%,         25%,   AC,    2,      1.0652
  PASS,    1,           Capacitor,                C51L,       1.1nF,         1nF,         25%,         25%,   AC,    2,      1.1324
  PASS,    1,           Capacitor,                C53L,       1.1nF,         1nF,         25%,         25%,   AC,    2,      1.1215
  PASS,    1,           Capacitor,                C54L,       1.1nF,         1nF,         25%,         25%,   AC,    2,      1.0965
  PASS,    1,           Capacitor,                C55L,       1.1nF,         1nF,         25%,         25%,   AC,    2,      1.0859
  PASS,    1,           Capacitor,                C60L,       1.1nF,         1nF,         25%,         25%,   AC,    2,      1.1913
  SKIP,    1,           Capacitor,                C66L,       1.1nF,         1nF,         25%,         25%,   AC,    2,           0
  PASS,    1,           Capacitor,                C69L,       1.1nF,         1nF,         25%,         25%,   AC,    2,      1.2201
  PASS,    1,           Capacitor,                  C3,         0nF,        10nF,         25%,         25%,   AC,    2,     10.5776
  PASS,    1,           Capacitor,                 C20,         0nF,        10nF,         25%,         25%,   AC,    2,     11.5646
  PASS,    1,           Capacitor,                 C21,         0nF,        10nF,         25%,         25%,   AC,    2,     11.5322
  PASS,    1,           Capacitor,                 C22,         0nF,        10nF,         25%,         25%,   AC,    2,     11.5594
  PASS,    1,           Capacitor,                 C23,         0nF,        10nF,         25%,         25%,   AC,    2,     11.7065
  PASS,    1,           Capacitor,                 C24,         0nF,        10nF,         25%,         25%,   AC,    2,     11.0992
  PASS,    1,           Capacitor,                 C25,         0nF,        10nF,         25%,         25%,   AC,    2,     11.1043
  PASS,    1,           Capacitor,                 C26,         0nF,        10nF,         25%,         25%,   AC,    2,     11.0289
  PASS,    1,           Capacitor,                 C27,         0nF,        10nF,         25%,         25%,   AC,    2,     11.0328
  PASS,    1,           Capacitor,                 C28,         0nF,        10nF,         25%,         25%,   AC,    2,     11.0062
  PASS,    1,           Capacitor,                 C29,         0nF,        10nF,         25%,         25%,   AC,    2,     11.4266
  PASS,    1,           Capacitor,                 C30,         0nF,        10nF,         25%,         25%,   AC,    2,     11.4355
  PASS,    1,           Capacitor,                 C31,         0nF,        10nF,         25%,         25%,   AC,    2,     11.5111
  PASS,    1,           Capacitor,                 C33,         0nF,        10nF,         25%,         25%,   AC,    2,     10.9692
  PASS,    1,           Capacitor,                 C34,         0nF,        10nF,         25%,         25%,   AC,    2,     11.0446
  PASS,    1,           Capacitor,                 C35,         0nF,        10nF,         25%,         25%,   AC,    2,     11.2658
  PASS,    1,           Capacitor,                 C36,         0nF,        10nF,         25%,         25%,   AC,    2,     11.9547
  PASS,    1,           Capacitor,                 C37,         0nF,        10nF,         25%,         25%,   AC,    2,      11.687
  PASS,    1,           Capacitor,                 C39,         0nF,        10nF,         25%,         25%,   AC,    2,     11.0726
  PASS,    1,           Capacitor,                 C40,         0nF,        10nF,         25%,         25%,   AC,    2,     11.4764
  PASS,    1,           Capacitor,                 C41,         0nF,        10nF,         25%,         25%,   AC,    2,     11.4818
  PASS,    1,           Capacitor,                 C42,         0nF,        10nF,         25%,         25%,   AC,    2,     11.0198
  PASS,    1,           Capacitor,                 C43,         0nF,        10nF,         25%,         25%,   AC,    2,     10.9504
  PASS,    1,           Capacitor,                 C3L,         0nF,        10nF,         25%,         25%,   AC,    2,     11.3973
  PASS,    1,           Capacitor,                C20L,         0nF,        10nF,         25%,         25%,   AC,    2,     11.3988
  PASS,    1,           Capacitor,                C21L,         0nF,        10nF,         25%,         25%,   AC,    2,      11.512
  PASS,    1,           Capacitor,                C22L,         0nF,        10nF,         25%,         25%,   AC,    2,     11.3967
  PASS,    1,           Capacitor,                C23L,         0nF,        10nF,         25%,         25%,   AC,    2,     11.4064
  PASS,    1,           Capacitor,                C24L,         0nF,        10nF,         25%,         25%,   AC,    2,     10.9485
  PASS,    1,           Capacitor,                C25L,         0nF,        10nF,         25%,         25%,   AC,    2,     10.8895
  PASS,    1,           Capacitor,                C26L,         0nF,        10nF,         25%,         25%,   AC,    2,     10.9272
  PASS,    1,           Capacitor,                C27L,         0nF,        10nF,         25%,         25%,   AC,    2,     10.8457
  PASS,    1,           Capacitor,                C28L,         0nF,        10nF,         25%,         25%,   AC,    2,     10.8029
